iter	Passed	Remaining
0	185	18389
1	233	11454
2	281	9094
3	329	7910
4	376	7149
5	424	6643
6	471	6264
7	516	5937
8	564	5711
9	610	5491
10	656	5312
11	700	5139
12	749	5014
13	794	4881
14	840	4763
15	889	4670
16	939	4587
17	988	4501
18	1032	4400
19	1076	4304
20	1123	4225
21	1171	4152
22	1217	4076
23	1260	3990
24	1304	3912
25	1354	3854
26	1398	3780
27	1445	3717
28	1488	3644
29	1535	3582
30	1582	3521
31	1626	3456
32	1667	3386
33	1713	3326
34	1758	3264
35	1805	3209
36	1853	3155
37	1897	3096
38	1941	3036
39	1987	2981
40	2033	2925
41	2077	2869
42	2125	2817
43	2171	2764
44	2219	2713
45	2263	2657
46	2306	2600
47	2352	2548
48	2395	2493
49	2440	2440
50	2487	2390
51	2532	2337
52	2576	2284
53	2626	2237
54	2673	2187
55	2718	2135
56	2760	2082
57	2805	2031
58	2852	1982
59	2898	1932
60	2942	1881
61	2990	1832
62	3036	1783
63	3080	1733
64	3127	1684
65	3174	1635
66	3218	1585
67	3263	1535
68	3308	1486
69	3349	1435
70	3393	1386
71	3438	1337
72	3483	1288
73	3529	1239
74	3572	1190
75	3614	1141
76	3656	1092
77	3700	1043
78	3743	995
79	3789	947
80	3832	899
81	3877	851
82	3921	803
83	3963	755
84	4008	707
85	4049	659
86	4093	611
87	4137	564
88	4180	516
89	4225	469
90	4270	422
91	4311	374
92	4354	327
93	4398	280
94	4441	233
95	4483	186
96	4526	139
97	4570	93
98	4613	46
99	4653	0
